SHOW NAME,COUNTRY/REGION,YEAR,EPISODES,RATINGS,SUMMARY,POSTER
RUNNING MAN,South Korea,2010,500,9.3,"Running Man is a reality-variety show that stars Yoo Jae Suk and many other celebrities. In each episode, they must complete missions at famous landmarks to win the race. The missions almost always feature running, hence…",https://i.mydramalist.com/45JrQc.jpg
HANA YORI DANGO 2 (RETURNS) BANGAI HEN - MAKINOKE HAJIMETE NO KAZOKU RYOKO IN N.Y.,Japan,2007,1,8,"This is a travel variety show with Hana Yori Dango cast members, the program introduces things to do and places to visit in New York, with silly challenges and punishments sprinkled in. Story threads are also introduced…",https://i.mydramalist.com/qkJ3Qc.jpg
BUSTED,South Korea,2018,10,8.5,"Tackling different mysteries in each episode of this game show, seven sleuths get closer to solving the biggest one of all: What happened to Project D? (Source: Netflix)",https://i.mydramalist.com/247x2c.jpg
PRODUCE 101: SEASON 2,South Korea,2017,11,8.6,"Produce 101 Season 2 brings together 101 trainees from different entertainment companies in South Korea, and 11 trainees are selected through audience voting to form a boy band. The group will perform for 2 years together…",https://i.mydramalist.com/b2rkVc.jpg
KNOWING BROS,South Korea,2015,200,9.1,"It is a sitcom talk show program set in a school. In each episode, new celebrity guests appear as transfer students at the 'Brother School' where seven mischievous brother students wait for them. The show consists of…",https://i.mydramalist.com/B2y1zc.jpg
RUN BTS! SEASON 1,South Korea,2015,10,9.4,"Run BTS! is a 20 minute reality show starring BTS, a Korean pop group. It features them doing several challenges and activities to entertain fans. The show is dedicated to their fans, also know as ARMY.",https://i.mydramalist.com/KDLejc.jpg
PRODUCE 101: SEASON 1,South Korea,2016,11,8.4,"Produce 101 is the nation's first agency-collaboration unit girl group project, which brings together 101 trainees from different entertainment companies both inside and outside of South Korea. From the 101 trainees,…",https://i.mydramalist.com/yNwbRc.jpg
EXO'S SHOWTIME,South Korea,2013,12,9.1,"EXO's Showtime is a South Korean documentary starring the boy group EXO. It is the first season of the South Korean reality show series, Showtime.",https://i.mydramalist.com/Yo63Wc.jpg
RUN BTS! SEASON 2,South Korea,2017,46,9.5,"Run BTS! is a reality show starring BTS, where they play various games and compete in various competitions individually or in groups.",https://i.mydramalist.com/el6Anc.jpg
THE UNIT,South Korea,2017,28,8.2,“The Unit” aims to create the best idol unit by uncovering already debuted singers’ talent and potential in a program where viewers get to pick the unit members. Viewers who get to participate in the first recording…,https://i.mydramalist.com/KA7RRc.jpg
ROOMMATE: SEASON 1,South Korea,2014,20,8.3,"Eleven celebrities live together in close quarters as they share the cooking, cleaning and everyday chores around the house. Will they become close friends? Develop deeper relationships? Or find themselves fighting each…",https://i.mydramalist.com/NvXxEc.jpg
PRODUCE 48,South Korea,2018,12,7.9,"Being a collaboration between Korea’s “Produce 101” series and Japan’s AKB48 system, ‘Produce 48’ will feature competitions among 96 trainees from both South Korea and Japan, contesting for four months to…",https://i.mydramalist.com/Zgjokc.jpg
WEEKLY IDOL,South Korea,2011,430,8.7,"The main segment of the show, called ""Idol of the Week"", features idol groups as the invited guests, and usually consists of several featured corners.",https://i.mydramalist.com/LdWbrc.jpg
BTS: BON VOYAGE,South Korea,2016,8,9.4,"In season one, let's see stories of BTS travelling around North Europe during 10 days, celebrating their 3rd year!",https://i.mydramalist.com/ko6Orc.jpg
BOYS BEFORE FLOWERS: F4 TALK SHOW SPECIAL,South Korea,2009,1,7.8,"Due to Ku Hye Sun’s accident (Geum Jan Di), KBS broadcasted a Boys Over Flowers special and featured the F4 actors - Lee Min Ho, Kim Hyun Joong, Kim Beom, and Kim Joon - and be hosted by Han Seok Joon and Hyun Young.…",https://i.mydramalist.com/81DJKc.jpg
IDOL PRODUCER: SEASON 1,China,2018,12,8.9,"Chinese reality boy group survival show. Brings together 100 different trainees, and only nine will be chosen. The final nine contestants debuted in Nine Percent, also known as 9%.",https://i.mydramalist.com/X82Rqc.jpg
BTS: BURN THE STAGE,South Korea,2018,8,9.4,"Burn the Stage follows the 300-day journey of the K-Pop group, BTS' world tour, 2017 BTS LIVE TRILOGY EPISODE : THE WINGS TOUR. This show is an intimate, personal portrayal dedicated to each other and to their fans across…",https://i.mydramalist.com/Jx3Njc.jpg
ROOMMATE: SEASON 2,South Korea,2014,26,8.4,"A new season of Roommate was announced following the departure of several members. This season's concept is Home share, Whole share, where the members not only live together but learn and share from each other. The new…",https://i.mydramalist.com/LpRz7c.jpg
